name,metric,cluster_num,value,n,network_id,clustering_id
mod_opt,0.8_precision,Entire Graph,0.7264937113588396,10000,1,1
mod_opt,0.8_recall,Entire Graph,0.09714380165119321,10000,1,1
mod_opt,0.9_precision,Entire Graph,0.6591374322890722,10000,1,1
mod_opt,0.9_recall,Entire Graph,0.08668631885882452,10000,1,1
mod_opt,1.0_precision,Entire Graph,0.08,10000,1,1
mod_opt,1.0_recall,Entire Graph,0.007821986442676098,10000,1,1
mod_opt,NLS,Entire Graph,0.82659251091999864,10000,1,1
mod_opt,Block_size_median,Entire Graph,67.0,10000,1,1
mod_opt,Sample_block_num,Entire Graph,25,10000,1,1
mod_opt,Original_block_num,Entire Graph,39,10000,1,1
mod_opt,ANC,Entire Graph,0.641025641025641,10000,1,1
mod_opt,Scikit-learn NMI,Entire Graph,0.9290008582113044,10000,1,1
mod_opt,Adjusted Rand Score,Entire Graph,0.8799239288629214,10000,1,1
mod_opt,Lancichinetti NMI,Entire Graph,0.684504,10000,1,1
mod_opt,0.5_precision,Entire Graph,0.8390937378383841,10000,1,2
mod_opt,0.5_recall,Entire Graph,0.12021096447085647,10000,1,2
mod_opt,0.6_precision,Entire Graph,0.8390937378383841,10000,1,2
mod_opt,0.6_recall,Entire Graph,0.12021096447085647,10000,1,2
mod_opt,0.7_precision,Entire Graph,0.7578190125636588,10000,1,2
mod_opt,0.7_recall,Entire Graph,0.1019468756185323,10000,1,2
mod_opt,0.8_precision,Entire Graph,0.7264937113588396,10000,1,2
mod_opt,0.8_recall,Entire Graph,0.09714380165119321,10000,1,2
mod_opt,0.9_precision,Entire Graph,0.6591374322890722,10000,1,2
mod_opt,0.9_recall,Entire Graph,0.08668631885882452,10000,1,2
mod_opt,1.0_precision,Entire Graph,0.08,10000,1,2
mod_opt,1.0_recall,Entire Graph,0.007821986442676098,10000,1,2
mod_opt,NLS,Entire Graph,0.82659251091999864,10000,1,2
mod_opt,Block_size_median,Entire Graph,67.0,10000,1,2
mod_opt,Sample_block_num,Entire Graph,25,10000,1,2
mod_opt,Original_block_num,Entire Graph,39,10000,1,2
mod_opt,ANC,Entire Graph,0.641025641025641,10000,1,2
mod_opt,Scikit-learn NMI,Entire Graph,0.9290008582113044,10000,1,2
mod_opt,Adjusted Rand Score,Entire Graph,0.8799239288629214,10000,1,2
mod_opt,Lancichinetti NMI,Entire Graph,0.684504,10000,1,2
mod_opt,0.5_precision,Entire Graph,0.9011977471089729,10000,2,1
